"Market","Brand","Sub Brand","Category","Sub Category","Name","IS_Combo","If Combo - Size","Individual Size (gm)","Price (SAR)","Link","SAR/g"
"Carrefour","Yateb","Yateb","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Yateb brown lentils 500 g","No","NA","1 pieces/kg","7.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/lentils/yateb-brown-lentils-500g/p/146316",7.75
"Carrefour","Carrefour","Carrefour","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Carrefour urid dal 400 g","No","NA","1 pieces/kg","5.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/lentils/crf-urid-dal-400g/p/619598",5.95
"Carrefour","Luna","Luna","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Luna chick peas 370 g","No","NA","1 pieces/kg","4.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/peas/luna-chick-peas-370g/p/524275",4.95
"Carrefour","Majdi","Majdi","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Majdi chick peas 350 g","No","NA","1 pieces/kg","8.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/peas/majdi-chick-peas-bold-450g/p/51102",8.25
"Carrefour","Yateb","Yateb","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Yateb chickpeas whole 1 Kg","No","NA","1 pieces/kg","11.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/peas/yateb-chickpeas-whole-1kg/p/146284",11.95
"Carrefour","Yateb","Yateb","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Yateb semolina soft 2 Kg","No","NA","1 pieces/kg","16.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/couscous/yateb-semolina-soft-2kg/p/146303",16.5
"Carrefour","Yateb","Yateb","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Yateb yellow lentils 1 Kg","No","NA","1 pieces/kg","13.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/lentils/yateb-yellow-lentils-1kg/p/146320",13.95
"Carrefour","Yateb","Yateb","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Yateb chickpeas powder 500 g","No","NA","1 pieces/kg","5.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/peas/yateb-chickpeas-powder-500g/p/146289",5.25
"Carrefour","Zain","Zain","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Zain beans split faba 800 g","No","NA","1 pieces/kg","7.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/beans/zain-beans-split-faba-800g/p/588425",7.75
"Carrefour","Carrefour","Carrefour","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Carrefour nos melanges gourmands gourmet boulgour & lentilles 200 g X 2","No","NA","1 pieces/kg","12.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/black-eyed-peas/crf-gourmet-bulgur-lentil-200g-x2/p/615289",12.5
